Country	Company Name	Industry
China	HefeiFlex Ltd.	Electronics
USA	ThunderPac Technologies LLC	Food & Beverage
Germany	RegensburgFlex GmbH	Consumer Goods
China	LhasaWrap Co., Ltd.	Packaging Equipment
USA	QuantumPack Inc.	Pharmaceuticals
Germany	WuppertalPack GmbH	Industrial Manufacturing
China	HuizhouFlex Ltd.	Chemicals
USA	InfinityWrap Corp.	Electronics
Germany	OffenburgPack GmbH	Food & Beverage
China	NanchangPack Co., Ltd.	Consumer Goods
USA	ProPac Innovations LLC	Packaging Equipment
Germany	CottbusFlex GmbH	Pharmaceuticals
China	LuoyangWrap Industries	Industrial Manufacturing
USA	TruePac Dynamics Inc.	Chemicals
Germany	JenaPack GmbH	Electronics
China	MeiPack Ltd.	Food & Beverage
USA	FirstPack Corp.	Consumer Goods
Germany	DarmstadtFlex GmbH	Packaging Equipment
China	YangonFlex Ltd.	Pharmaceuticals
USA	ArrowPack Solutions LLC	Industrial Manufacturing
Germany	FlensburgPack GmbH	Chemicals
China	XiamenWrap Co., Ltd.	Electronics
USA	UnityWrap Corp.	Food & Beverage
Germany	GeraFlex GmbH	Consumer Goods
China	KunmingPack Industries	Packaging Equipment
USA	TopLine Packaging Inc.	Pharmaceuticals
Germany	RavensburgPack GmbH	Industrial Manufacturing
China	WeifangFlex Ltd.	Chemicals
USA	CorePac Systems LLC	Electronics
Germany	MönchengladbachFlex GmbH	Food & Beverage
China	HengyangWrap Co., Ltd.	Consumer Goods
USA	OptimaPack Corp.	Packaging Equipment
Germany	NeussPack GmbH	Pharmaceuticals
China	ZhuhaiFlex Industries	Industrial Manufacturing
USA	AdvancedWrap Technologies LLC	Chemicals
Germany	ReutlingenFlex GmbH	Electronics
China	JilinPack Ltd.	Food & Beverage
USA	MaxiPac Inc.	Consumer Goods
Germany	PforzheimPack GmbH	Packaging Equipment
China	JiaxingWrap Co., Ltd.	Pharmaceuticals
USA	VerdePack Solutions Corp.	Industrial Manufacturing
Germany	KoblenzFlex GmbH	Chemicals
China	ZhaoPack Ltd.	Electronics
USA	NextLevel Packaging LLC	Food & Beverage
Germany	UlmPack GmbH	Consumer Goods
China	ShandongFlex Industries	Packaging Equipment
USA	BlueWave PackTech Inc.	Pharmaceuticals
Germany	GreifswaldFlex GmbH	Industrial Manufacturing
China	GuiyangWrap Co., Ltd.	Chemicals
USA	EclipsePac Corp.	Electronics
Germany	AschaffenburgPack GmbH	Food & Beverage
China	XiningFlex Ltd.	Consumer Goods
USA	PrimeLine Wrap Inc.	Packaging Equipment
Germany	RosenheimFlex GmbH	Pharmaceuticals
China	YichunPack Industries	Industrial Manufacturing
USA	InfinitePack Solutions LLC	Chemicals
Germany	BayreuthPack GmbH	Electronics
China	NanningWrap Co., Ltd.	Food & Beverage
USA	OrbitPack Corp.	Consumer Goods
Germany	LübeckFlex GmbH	Packaging Equipment
China	JiangxiFlex Ltd.	Pharmaceuticals
USA	ApexWrap Inc.	Industrial Manufacturing
Germany	Neu-UlmPack GmbH	Chemicals
China	LhasaFlex Co., Ltd.	Electronics
USA	ValiantPac Corp.	Food & Beverage
Germany	FuldaPack GmbH	Consumer Goods
China	QinghaiWrap Industries	Packaging Equipment
USA	HighMark Packaging LLC	Pharmaceuticals
Germany	RecklinghausenFlex GmbH	Industrial Manufacturing
China	YibinPack Ltd.	Chemicals
USA	TrinityPack Inc.	Electronics
Germany	KemptenPack GmbH	Food & Beverage
China	ChaoPack Co., Ltd.	Consumer Goods
USA	UnitedWrap Solutions Corp.	Packaging Equipment
Germany	OsnabrückFlex GmbH	Pharmaceuticals
China	LinyiFlex Industries	Industrial Manufacturing
USA	WorldPac Innovations Inc.	Chemicals
Germany	KrefeldPack GmbH	Electronics
China	XuchangWrap Co., Ltd.	Food & Beverage
USA	EpicPack Corp.	Consumer Goods
Germany	DelmenhorstFlex GmbH	Packaging Equipment
China	GanzhouFlex Ltd.	Pharmaceuticals
USA	StarPac Systems LLC	Industrial Manufacturing
Germany	CellePack GmbH	Chemicals
China	ZigongWrap Co., Ltd.	Electronics
USA	FoundersPack Inc.	Food & Beverage
Germany	WiesbadenFlex GmbH	Consumer Goods
China	ZhaoqingPack Industries	Packaging Equipment
USA	SigmaWrap Corp.	Pharmaceuticals
Germany	RheinfeldenPack GmbH	Industrial Manufacturing
China	MeishanFlex Ltd.	Chemicals
USA	ForwardPack Solutions LLC	Electronics
Germany	WolfsburgPack GmbH	Food & Beverage
China	EnshiFlex Co., Ltd.	Consumer Goods
USA	AnchorPac Corp.	Packaging Equipment
Germany	Bad KreuznachFlex GmbH	Pharmaceuticals
China	YiyangWrap Industries	Industrial Manufacturing
USA	EdgePack Inc.	Chemicals
Germany	RastattPack GmbH	Electronics
China	ZhoushanFlex Ltd.	Food & Beverage
USA	ProgressivePack LLC	Consumer Goods
Germany	Bergisch GladbachFlex GmbH	Packaging Equipment
China	XingtaiPack Co., Ltd.	Pharmaceuticals
USA	ReliableWrap Corp.	Industrial Manufacturing
Germany	ErlangenPack GmbH	Chemicals
China	BaojiFlex Ltd.	Electronics
USA	ClarityPack Inc.	Food & Beverage
Germany	KonstanzFlex GmbH	Consumer Goods
China	JinchangWrap Industries	Packaging Equipment
USA	NextStep Packaging LLC	Pharmaceuticals
Germany	OffenbachPack GmbH	Industrial Manufacturing
China	AnyangFlex Co., Ltd.	Chemicals
USA	TrueNorth Pac Corp.	Electronics
Germany	GöppingenPack GmbH	Food & Beverage
China	ZhangjiagangFlex Ltd.	Consumer Goods
USA	ElitePac Solutions Inc.	Packaging Equipment
Germany	BottropFlex GmbH	Pharmaceuticals
China	DezhouWrap Industries	Industrial Manufacturing
USA	BlueSky PackTech LLC	Chemicals
Germany	NeckarsulmPack GmbH	Electronics
China	LuoheFlex Ltd.	Food & Beverage
USA	ParagonPack Corp.	Consumer Goods
Germany	RatingenFlex GmbH	Packaging Equipment
China	Huai’anPack Co., Ltd.	Pharmaceuticals
USA	ApexFlex Inc.	Industrial Manufacturing
Germany	RavensburgPack GmbH	Chemicals
China	YueyangWrap Ltd.	Electronics
USA	ValorPack Solutions LLC	Food & Beverage
Germany	ReutlingenFlex GmbH	Consumer Goods
China	ZhongshanFlex Industries	Packaging Equipment
USA	UnityPac Corp.	Pharmaceuticals
Germany	StendalPack GmbH	Industrial Manufacturing
China	BozhouFlex Co., Ltd.	Chemicals
USA	CorePack Inc.	Electronics
Germany	WürzburgFlex GmbH	Food & Beverage
China	ChenzhouWrap Ltd.	Consumer Goods
USA	VeritasPack LLC	Packaging Equipment
Germany	PlauenPack GmbH	Pharmaceuticals
China	YunchengFlex Industries	Industrial Manufacturing
USA	StrategicWrap Corp.	Chemicals
Germany	KaufbeurenFlex GmbH	Electronics
China	BaiseWrap Co., Ltd.	Food & Beverage
USA	NextGenPac Inc.	Consumer Goods
Germany	Bad TölzFlex GmbH	Packaging Equipment
China	XiangtanFlex Ltd.	Pharmaceuticals
USA	LibertyWrap Solutions LLC	Industrial Manufacturing
Germany	Kirchheim unter TeckPack GmbH	Chemicals
China	HegangFlex Co., Ltd.	Electronics
USA	QuantumPack Corp.	Food & Beverage
Germany	NeuwiedPack GmbH	Consumer Goods
China	ShangqiuWrap Industries	Packaging Equipment
USA	ApexPac Innovations Inc.	Pharmaceuticals
Germany	Bietigheim-BissingenFlex GmbH	Industrial Manufacturing
China	ZiboFlex Ltd.	Chemicals
USA	TrueView Packaging LLC	Electronics
Germany	LindauPack GmbH	Food & Beverage
China	YichunWrap Co., Ltd.	Consumer Goods
USA	VertexWrap Corp.	Packaging Equipment
Germany	WolfenbüttelFlex GmbH	Pharmaceuticals
China	JingdezhenPack Industries	Industrial Manufacturing
USA	EliteFlex Inc.	Chemicals
Germany	Bad HomburgPack GmbH	Electronics
China	HebiFlex Ltd.	Food & Beverage
USA	PrimePack Solutions LLC	Consumer Goods
Germany	RastedePack GmbH	Packaging Equipment
China	XinxiangWrap Co., Ltd.	Pharmaceuticals
USA	ArrowPac Corp.	Industrial Manufacturing
Germany	AlzeyFlex GmbH	Chemicals
China	XingtaiFlex Ltd.	Electronics
USA	UnityFlex Inc.	Food & Beverage
Germany	Bergen auf RügenPack GmbH	Consumer Goods
China	YichangWrap Industries	Packaging Equipment
USA	NextStep PackTech LLC	Pharmaceuticals
Germany	RheinePack GmbH	Industrial Manufacturing
China	ZhuzhouFlex Co., Ltd.	Chemicals
USA	VerdeWrap Corp.	Electronics
Germany	Schwäbisch HallPack GmbH	Food & Beverage
China	AnshanFlex Ltd.	Consumer Goods
USA	ValorPac Solutions Inc.	Packaging Equipment
Germany	BruchsalFlex GmbH	Pharmaceuticals
China	ZhaojunPack Industries	Industrial Manufacturing
USA	CorePack Corp.	Chemicals
Germany	BambergPack GmbH	Electronics
China	ChifengWrap Co., Ltd.	Food & Beverage
USA	ApexWrap Inc.	Consumer Goods
Germany	FüssenFlex GmbH	Packaging Equipment
China	XinyuFlex Ltd.	Pharmaceuticals
USA	LibertyPac Systems LLC	Industrial Manufacturing
Germany	LandshutPack GmbH	Chemicals
China	YulinWrap Co., Ltd.	Electronics
USA	QuantumFlex Corp.	Food & Beverage
Germany	KuselPack GmbH	Consumer Goods
China	JinggangshanFlex Industries	Packaging Equipment
USA	NextGen WrapTech Inc.	Pharmaceuticals
Germany	WeißenburgFlex GmbH	Industrial Manufacturing
China	AnqingWrap Ltd.	Chemicals
USA	StrategicPack LLC	Electronics
Germany	Neustadt an der WeinstraßePack GmbH	Food & Beverage
China	YunchengFlex Co., Ltd.	Consumer Goods
USA	VertexPac Corp.	Packaging Equipment
Germany	AmbergPack GmbH	Pharmaceuticals
China	XiangyangFlex Industries	Industrial Manufacturing
USA	EliteWrap Inc.	Chemicals
Germany	BautzenFlex GmbH	Electronics
China	BinzhouWrap Co., Ltd.	Food & Beverage
USA	PrimeFlex Solutions LLC	Consumer Goods
Germany	RavensburgPack GmbH	Packaging Equipment
China	ZhangjiakouFlex Ltd.	Pharmaceuticals
USA	ArrowWrap Corp.	Industrial Manufacturing
Germany	ForchheimPack GmbH	Chemicals
China	WeinanFlex Co., Ltd.	Electronics
USA	UnityPack Inc.	Food & Beverage
Germany	Neu-UlmFlex GmbH	Consumer Goods
China	YueyangWrap Industries	Packaging Equipment
USA	VeritasPac Corp.	Pharmaceuticals
Germany	GüstrowPack GmbH	Industrial Manufacturing
China	XianningFlex Ltd.	Chemicals
USA	CoreFlex Inc.	Electronics
Germany	KronachPack GmbH	Food & Beverage
China	ChaozhouFlex Co., Ltd.	Consumer Goods
USA	ValorWrap Solutions LLC	Packaging Equipment
Germany	WittenPack GmbH	Pharmaceuticals
China	JianmenFlex Industries	Industrial Manufacturing
USA	NextStep Pack Inc.	Chemicals
Germany	RastattFlex GmbH	Electronics
China	ZhuzhouWrap Co., Ltd.	Food & Beverage
USA	ApexPac Corp.	Consumer Goods
Germany	KaiserslauternPack GmbH	Packaging Equipment
China	YibinFlex Ltd.	Pharmaceuticals
USA	LibertyPack Solutions LLC	Industrial Manufacturing
Germany	Bad KreuznachFlex GmbH	Chemicals
China	MeishanWrap Co., Ltd.	Electronics
USA	QuantumWrap Inc.	Food & Beverage
Germany	KonstanzPack GmbH	Consumer Goods
China	ZhoushanFlex Industries	Packaging Equipment
USA	StrategicPack Corp.	Pharmaceuticals
Germany	OffenbachFlex GmbH	Industrial Manufacturing
China	AnyangWrap Co., Ltd.	Chemicals
USA	EliteFlex Inc.	Electronics
Germany	GöppingenPack GmbH	Food & Beverage
China	JinchangFlex Ltd.	Consumer Goods
USA	TrueNorth Packaging LLC	Packaging Equipment
Germany	NeckarsulmFlex GmbH	Pharmaceuticals
China	DezhouWrap Industries	Industrial Manufacturing
USA	ParagonWrap Corp.	Chemicals
Germany	RavensburgPack GmbH	Electronics
China	LuoheFlex Co., Ltd.	Food & Beverage
USA	UnityPac Inc.	Consumer Goods
Germany	ReutlingenFlex GmbH	Packaging Equipment
China	ZhongshanFlex Ltd.	Pharmaceuticals
USA	ApexFlex Solutions LLC	Industrial Manufacturing
Germany	StendalPack GmbH	Chemicals
China	BozhouWrap Co., Ltd.	Electronics
USA	ValorPack Corp.	Food & Beverage
Germany	KaufbeurenFlex GmbH	Consumer Goods
China	XiangtanFlex Industries	Packaging Equipment
USA	CorePack Inc.	Pharmaceuticals
Germany	Baden-BadenPack GmbH	Industrial Manufacturing
China	YunchengWrap Co., Ltd.	Chemicals
USA	LibertyFlex LLC	Electronics
Germany	KemptenPack GmbH	Food & Beverage
China	NanningFlex Ltd.	Consumer Goods
USA	NextGenPack Corp.	Packaging Equipment
Germany	RosenheimFlex GmbH	Pharmaceuticals
China	JiaxingWrap Industries	Industrial Manufacturing
USA	VerdeWrap Solutions Inc.	Chemicals
Germany	LübeckPack GmbH	Electronics
China	ZhaoPack Co., Ltd.	Food & Beverage
USA	ApexWrap Corp.	Consumer Goods
Germany	UlmFlex GmbH	Packaging Equipment
China	ShandongFlex Ltd.	Pharmaceuticals
USA	BlueWave PackTech LLC	Industrial Manufacturing
Germany	GreifswaldFlex GmbH	Chemicals
China	GuiyangWrap Co., Ltd.	Electronics
USA	EclipsePac Corp.	Food & Beverage
Germany	AschaffenburgPack GmbH	Consumer Goods
China	XiningFlex Industries	Packaging Equipment
USA	PrimeLine Packaging Inc.	Pharmaceuticals
Germany	RavensburgPack GmbH	Industrial Manufacturing
China	YichunWrap Co., Ltd.	Chemicals
USA	InfinitePack Solutions LLC	Electronics
Germany	BayreuthFlex GmbH	Food & Beverage
China	NanningPack Ltd.	Consumer Goods
USA	OrbitPack Corp.	Packaging Equipment
Germany	LüneburgPack GmbH	Pharmaceuticals
China	JiangxiFlex Industries	Industrial Manufacturing
USA	ApexWrap Inc.	Chemicals
Germany	Neu-UlmFlex GmbH	Electronics
China	LhasaFlex Co., Ltd.	Food & Beverage
USA	ValiantPac Solutions LLC	Consumer Goods
Germany	KonstanzPack GmbH	Packaging Equipment
China	QinghaiWrap Ltd.	Pharmaceuticals
USA	HighMark Packaging Corp.	Industrial Manufacturing
Germany	RecklinghausenFlex GmbH	Chemicals
China	YibinFlex Co., Ltd.	Electronics
USA	TrinityPack Inc.	Food & Beverage
Germany	KrefeldPack GmbH	Consumer Goods
China	LinyiWrap Industries	Packaging Equipment
USA	WorldPac Innovations LLC	Pharmaceuticals
Germany	OsnabrückFlex GmbH	Industrial Manufacturing
China	GanzhouFlex Ltd.	Chemicals
USA	EpicPack Corp.	Electronics
Germany	WiesbadenPack GmbH	Food & Beverage
China	ZigongWrap Co., Ltd.	Consumer Goods
USA	StarPac Systems Inc.	Packaging Equipment
Germany	DelmenhorstFlex GmbH	Pharmaceuticals
China	MeishanFlex Industries	Industrial Manufacturing
USA	FoundersPack LLC	Chemicals
Germany	WolfsburgPack GmbH	Electronics
China	ZhaoqingFlex Ltd.	Food & Beverage
USA	SigmaWrap Corp.	Consumer Goods
Germany	RheinfeldenPack GmbH	Packaging Equipment
China	XingtaiFlex Co., Ltd.	Pharmaceuticals
USA	ForwardPack Solutions Inc.	Industrial Manufacturing
Germany	CellePack GmbH	Chemicals
China	MeiPack Ltd.	Electronics
USA	AnchorPac Corp.	Food & Beverage
Germany	Bad KreuznachFlex GmbH	Consumer Goods
China	XiamenFlex Industries	Packaging Equipment
USA	EdgePack Inc.	Pharmaceuticals
Germany	JenaPack GmbH	Industrial Manufacturing
China	NanchangWrap Co., Ltd.	Chemicals
USA	ProgressiveWrap LLC	Electronics
Germany	MagdeburgFlex GmbH	Food & Beverage
China	FoshanWrap Ltd.	Consumer Goods
USA	ReliablePack Corp.	Packaging Equipment
Germany	KielFlex GmbH	Pharmaceuticals
China	WuxiFlex Industries	Industrial Manufacturing
USA	ClarityPac Inc.	Chemicals
Germany	BielefeldPack GmbH	Electronics
China	HefeiWrap Co., Ltd.	Food & Beverage
USA	NextStep Packaging LLC	Consumer Goods
Germany	MönchengladbachFlex GmbH	Packaging Equipment
China	LuoyangPack Ltd.	Pharmaceuticals
USA	TrueNorth PackTech Corp.	Industrial Manufacturing
Germany	FlensburgPack GmbH	Chemicals
China	HuizhouFlex Industries	Electronics
USA	UnityFlex Inc.	Food & Beverage
Germany	OffenburgPack GmbH	Consumer Goods
China	NanningWrap Co., Ltd.	Packaging Equipment
USA	QuantumPack Solutions LLC	Pharmaceuticals
Germany	WuppertalFlex GmbH	Industrial Manufacturing
China	JianmenFlex Ltd.	Chemicals
USA	ApexWrap Corp.	Electronics
Germany	GeraPack GmbH	Food & Beverage
China	ChaozhouFlex Co., Ltd.	Consumer Goods
USA	ValorPack Inc.	Packaging Equipment
Germany	RavensburgPack GmbH	Pharmaceuticals
China	XianningFlex Industries	Industrial Manufacturing
USA	StrategicPack Corp.	Chemicals
Germany	KoblenzFlex GmbH	Electronics
China	ZhuhaiWrap Co., Ltd.	Food & Beverage
USA	ElitePack Solutions LLC	Consumer Goods
Germany	PforzheimPack GmbH	Packaging Equipment
China	JilinFlex Ltd.	Pharmaceuticals
USA	LibertyPac Inc.	Industrial Manufacturing
Germany	NeussPack GmbH	Chemicals
China	ZhoushanFlex Industries	Electronics
USA	NextGenPack Corp.	Food & Beverage
Germany	DarmstadtFlex GmbH	Consumer Goods
China	KunmingWrap Co., Ltd.	Packaging Equipment
USA	VerdeWrap Solutions Inc.	Pharmaceuticals
Germany	ReutlingenFlex GmbH	Industrial Manufacturing
China	WeifangFlex Ltd.	Chemicals
USA	CorePack LLC	Electronics
Germany	RavensburgPack GmbH	Food & Beverage
China	YantaiFlex Co., Ltd.	Consumer Goods
USA	ApexFlex Corp.	Packaging Equipment
Germany	StuttgartWrap GmbH	Pharmaceuticals
China	ChengFlex Industries	Industrial Manufacturing
USA	ValorWrap Inc.	Chemicals
Germany	BonnPack GmbH	Electronics
China	XiAnPack Co., Ltd.	Food & Beverage
USA	QuantumPack Solutions LLC	Consumer Goods
Germany	HamburgPack GmbH	Packaging Equipment
China	BeijingFlex Ltd.	Pharmaceuticals
USA	EliteWrap Corp.	Industrial Manufacturing
Germany	FrankfurtPack GmbH	Chemicals
China	ShenWrap Co., Ltd.	Electronics
USA	LibertyPack Inc.	Food & Beverage
Germany	MunichFlex GmbH	Consumer Goods
China	SuzhouPack Ltd.	Packaging Equipment
USA	NextStep Packaging LLC	Pharmaceuticals
Germany	BerlinWrap GmbH	Industrial Manufacturing
China	GuangFlex Industries	Chemicals
USA	ApexPac Corp.	Electronics
Germany	KarlsruheFlex GmbH	Food & Beverage
China	QingPack Co., Ltd.	Consumer Goods
USA	StrategicWrap Inc.	Packaging Equipment
Germany	LeipzigFlex GmbH	Pharmaceuticals
China	WuhanPack Ltd.	Industrial Manufacturing
USA	CoreFlex Solutions LLC	Chemicals
Germany	KasselFlex GmbH	Electronics
China	ChengFlex Co., Ltd.	Food & Beverage
USA	ValorPack Corp.	Consumer Goods
Germany	DresdenPack GmbH	Packaging Equipment
China	NanjingFlex Ltd.	Pharmaceuticals
USA	ElitePac Inc.	Industrial Manufacturing
Germany	FreiburgWrap GmbH	Chemicals
China	ChongqingPack Co., Ltd.	Electronics
USA	LibertyWrap Solutions LLC	Food & Beverage
Germany	StuttgartFlex GmbH	Consumer Goods
China	HangzhouWrap Ltd.	Packaging Equipment
USA	QuantumFlex Corp.	Pharmaceuticals
Germany	HeidelbergFlex GmbH	Industrial Manufacturing
China	ChongqingFlex Industries	Chemicals
USA	ApexWrap Inc.	Electronics
Germany	BremenPack GmbH	Food & Beverage
China	ShenzhenFlex Co., Ltd.	Consumer Goods
USA	NextStep PackTech LLC	Packaging Equipment
Germany	KielFlex GmbH	Pharmaceuticals
China	DongguanWrap Ltd.	Industrial Manufacturing
USA	CorePack Corp.	Chemicals
Germany	MagdeburgFlex GmbH	Electronics
China	TianjinFlex Co., Ltd.	Food & Beverage
USA	EliteFlex Solutions LLC	Consumer Goods
Germany	RostockPack GmbH	Packaging Equipment
China	NingboWrap Ltd.	Pharmaceuticals
USA	ValorPac Inc.	Industrial Manufacturing
Germany	WürzburgFlex GmbH	Chemicals
China	FoshanFlex Co., Ltd.	Electronics
USA	LibertyPack Corp.	Food & Beverage
Germany	ErfurtPack GmbH	Consumer Goods
China	WuxiPack Ltd.	Packaging Equipment
USA	QuantumPack Solutions LLC	Pharmaceuticals
Germany	IngolstadtFlex GmbH	Industrial Manufacturing
China	GuangzhouFlex Co., Ltd.	Chemicals
USA	ApexWrap Inc.	Electronics
Germany	BielefeldPack GmbH	Food & Beverage
China	JinanFlex Ltd.	Consumer Goods
USA	NextGenPack Corp.	Packaging Equipment
Germany	BayreuthFlex GmbH	Pharmaceuticals
China	ChengduWrap Ltd.	Industrial Manufacturing
USA	CoreFlex Inc.	Chemicals
Germany	KonstanzPack GmbH	Electronics
China	ChangshaFlex Co., Ltd.	Food & Beverage
USA	ValorWrap Solutions LLC	Consumer Goods
Germany	Neu-UlmPack GmbH	Packaging Equipment
China	ShanghaiWrap Ltd.	Pharmaceuticals
USA	ElitePack Corp.	Industrial Manufacturing
Germany	RavensburgPack GmbH	Chemicals
China	ZhengzhouFlex Co., Ltd.	Electronics
USA	LibertyFlex Inc.	Food & Beverage
Germany	OffenburgFlex GmbH	Consumer Goods
China	XiAnFlex Ltd.	Packaging Equipment
USA	QuantumWrap Solutions LLC	Pharmaceuticals
Germany	WuppertalPack GmbH	Industrial Manufacturing
China	ChengduWrap Co., Ltd.	Chemicals
USA	ApexPac Inc.	Electronics
Germany	DarmstadtFlex GmbH	Food & Beverage
China	ChangchunFlex Ltd.	Consumer Goods
USA	NextStep Packaging LLC	Packaging Equipment
Germany	KoblenzPack GmbH	Pharmaceuticals
China	LhasaWrap Industries	Industrial Manufacturing
USA	CorePack Corp.	Chemicals
Germany	JenaFlex GmbH	Electronics
China	NanningFlex Co., Ltd.	Food & Beverage
USA	ValorPack Inc.	Consumer Goods
Germany	KrefeldPack GmbH	Packaging Equipment
China	GuangFlex Ltd.	Pharmaceuticals
USA	EliteWrap Solutions LLC	Industrial Manufacturing
Germany	RavensburgPack GmbH	Chemicals
China	HefeiFlex Co., Ltd.	Electronics
USA	LibertyPac Corp.	Food & Beverage
Germany	StuttgartFlex GmbH	Consumer Goods
China	NanjingFlex Industries	Packaging Equipment
USA	QuantumPack Inc.	Pharmaceuticals
Germany	LeipzigPack GmbH	Industrial Manufacturing
China	WuhanFlex Co., Ltd.	Chemicals
USA	ApexFlex Solutions LLC	Electronics
Germany	BremenFlex GmbH	Food & Beverage
China	ChengFlex Ltd.	Consumer Goods
USA	NextStep WrapCorp.	Packaging Equipment
Germany	KasselFlex GmbH	Pharmaceuticals
China	ChongqingWrap Industries	Industrial Manufacturing
USA	CoreWrap Inc.	Chemicals
Germany	FreiburgPack GmbH	Electronics
China	ChangshaWrap Co., Ltd.	Food & Beverage
USA	ValorFlex Corp.	Consumer Goods
Germany	MagdeburgPack GmbH	Packaging Equipment
China	ShenzhenFlex Ltd.	Pharmaceuticals
USA	ElitePac Solutions LLC	Industrial Manufacturing
Germany	WürzburgFlex GmbH	Chemicals
China	DongguanFlex Co., Ltd.	Electronics
USA	LibertyWrap Inc.	Food & Beverage
Germany	ErfurtFlex GmbH	Consumer Goods
China	JinanFlex Industries	Packaging Equipment
USA	QuantumPack Corp.	Pharmaceuticals
Germany	RostockFlex GmbH	Industrial Manufacturing
China	GuangzhouFlex Co., Ltd.	Chemicals
USA	ApexWrap Solutions LLC	Electronics
Germany	BielefeldFlex GmbH	Food & Beverage
China	NingboFlex Ltd.	Consumer Goods
USA	NextStep Packaging Inc.	Packaging Equipment
Germany	BayreuthPack GmbH	Pharmaceuticals
China	ChengduWrap Industries	Industrial Manufacturing
USA	CoreFlex Inc.	Chemicals
Germany	KonstanzFlex GmbH	Electronics
China	ChangchunFlex Co., Ltd.	Food & Beverage
USA	ValorPack Solutions LLC	Consumer Goods
Germany	Neu-UlmPack GmbH	Packaging Equipment
China	ShanghaiFlex Ltd.	Pharmaceuticals
USA	EliteWrap Corp.	Industrial Manufacturing
Germany	RavensburgPack GmbH	Chemicals
China	ZhengzhouFlex Co., Ltd.	Electronics
USA	LibertyFlex Solutions LLC	Food & Beverage
Germany	OffenburgFlex GmbH	Consumer Goods
China	XiAnWrap Industries	Packaging Equipment
USA	QuantumWrap Inc.	Pharmaceuticals
Germany	WuppertalPack GmbH	Industrial Manufacturing
China	ChengduFlex Co., Ltd.	Chemicals
USA	ApexPac Solutions LLC	Electronics
Germany	DarmstadtFlex GmbH	Food & Beverage
China	ChangshaFlex Ltd.	Consumer Goods
USA	NextStep PackTech Corp.	Packaging Equipment
Germany	KoblenzPack GmbH	Pharmaceuticals
China	LhasaWrap Industries	Industrial Manufacturing
USA	CorePack Inc.	Chemicals
Germany	JenaFlex GmbH	Electronics
China	NanningFlex Co., Ltd.	Food & Beverage
USA	ValorWrap Corp.	Consumer Goods
Germany	KrefeldPack GmbH	Packaging Equipment
China	GuangFlex Ltd.	Pharmaceuticals
USA	ElitePack Solutions LLC	Industrial Manufacturing
Germany	RavensburgPack GmbH	Chemicals
China	HefeiFlex Co., Ltd.	Electronics
USA	LibertyPac Inc.	Food & Beverage
Germany	StuttgartFlex GmbH	Consumer Goods
China	NanjingFlex Industries	Packaging Equipment
USA	QuantumPack Solutions LLC	Pharmaceuticals
Germany	LeipzigFlex GmbH	Industrial Manufacturing
China	WuhanFlex Co., Ltd.	Chemicals
USA	ApexFlex Corp.	Electronics
Germany	BremenPack GmbH	Food & Beverage
China	ChengFlex Ltd.	Consumer Goods
USA	NextStep Packaging LLC	Packaging Equipment
Germany	KasselFlex GmbH	Pharmaceuticals
China	ChongqingWrap Industries	Industrial Manufacturing
USA	CoreWrap Inc.	Chemicals
Germany	FreiburgWrap GmbH	Electronics
China	ChangchunFlex Co., Ltd.	Food & Beverage
USA	ValorFlex Corp.	Consumer Goods
Germany	MagdeburgPack GmbH	Packaging Equipment
China	ShenzhenFlex Ltd.	Pharmaceuticals
USA	ElitePac Solutions LLC	Industrial Manufacturing
Germany	WürzburgFlex GmbH	Chemicals
China	DongguanFlex Co., Ltd.	Electronics
USA	LibertyWrap Inc.	Food & Beverage
Germany	ErfurtFlex GmbH	Consumer Goods
China	JinanFlex Industries	Packaging Equipment
USA	QuantumPack Corp.	Pharmaceuticals
Germany	RostockFlex GmbH	Industrial Manufacturing
China	GuangzhouFlex Co., Ltd.	Chemicals
USA	ApexWrap Solutions LLC	Electronics
Germany	BielefeldFlex GmbH	Food & Beverage
China	NingboFlex Ltd.	Consumer Goods
USA	NextStep WrapCorp.	Packaging Equipment
Germany	BayreuthPack GmbH	Pharmaceuticals
China	ChengduWrap Industries	Industrial Manufacturing
USA	CoreFlex Inc.	Chemicals
Germany	KonstanzFlex GmbH	Electronics
China	ChangshaWrap Co., Ltd.	Food & Beverage
USA	ValorFlex Corp.	Consumer Goods
Germany	Neu-UlmPack GmbH	Packaging Equipment
China	ShanghaiFlex Ltd.	Pharmaceuticals
USA	EliteWrap Solutions LLC	Industrial Manufacturing
Germany	RavensburgPack GmbH	Chemicals
China	ZhengzhouFlex Co., Ltd.	Electronics
USA	LibertyFlex Solutions LLC	Food & Beverage
Germany	OffenburgFlex GmbH	Consumer Goods
China	XiAnFlex Industries	Packaging Equipment
USA	QuantumWrap Inc.	Pharmaceuticals
Germany	WuppertalPack GmbH	Industrial Manufacturing
China	ChengduFlex Co., Ltd.	Chemicals
USA	ApexPac Solutions LLC	Electronics
Germany	DarmstadtFlex GmbH	Food & Beverage
